link,name,salary,city
https://spb.hh.ru/vacancy/39924577?query=php,PHP-разработчик,60 000-150 000 руб.,Симферополь
https://spb.hh.ru/vacancy/39908868?query=php,PHP-разработчик,60 000-150 000 руб.,Омск
https://spb.hh.ru/vacancy/39592978?query=php,Младший PHP-разработчик (Junior PHP Developer),40 000-80 000 руб.,Иваново (Ивановская область)
https://spb.hh.ru/vacancy/39968983?query=php,"Начинающий Программист PHP, mysql, html, JS, CSS",от 20 000 руб.,Ижевск
https://spb.hh.ru/vacancy/39543024?query=php,Middle/Senior PHP-разработчик (Symfony),70 000-130 000 руб.,Воронеж
https://spb.hh.ru/vacancy/39950236?query=php,PHP-разработчик,60 000-150 000 руб.,Ярославль
https://spb.hh.ru/vacancy/39405124?query=php,Fullstack PHP разработчик,85 000-120 000 руб.,Москва
https://spb.hh.ru/vacancy/39576375?query=php,PHP программист (Symfony),от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/39669564?query=php,Senior PHP программист,от 90 000 руб.,Екатеринбург
https://spb.hh.ru/vacancy/39908922?query=php,PHP-разработчик,60 000-150 000 руб.,Оренбург
https://spb.hh.ru/vacancy/39908722?query=php,PHP-разработчик,60 000-150 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39990382?query=php,Веб-программист,от 25 000 руб.,Челябинск
https://spb.hh.ru/vacancy/39563246?query=php,PHP - разработчик / Senior PHP developer,до 200 000 руб.,Москва
https://spb.hh.ru/vacancy/39174829?query=php,Senior PHP Developer,от 200 000 руб.,Москва
https://spb.hh.ru/vacancy/39864703?query=php,Программист PHP,до 2 200 EUR,Москва
https://spb.hh.ru/vacancy/39758496?query=php,Разработчик PHP/JS/MySQL (Удаленно),от 60 000 руб.,Москва
https://spb.hh.ru/vacancy/39358513?query=php,PHP (Laravel) developer,100 000-120 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39862579?query=php,"Fullstack web-разработчик (PHP/JS, middle)",до 175 000 руб.,"Москва, Волжская"
https://spb.hh.ru/vacancy/39600318?query=php,PHP Developer,1 000-1 500 USD,Тернополь
https://spb.hh.ru/vacancy/39459327?query=php,PHP-программист,60 000-80 000 руб.,Москва
https://spb.hh.ru/vacancy/37850553?query=php,PHP-программист (Senior),130 000-200 000 руб.,Воронеж
https://spb.hh.ru/vacancy/39958191?query=php,Junior PHP-программист,до 50 000 руб.,"Москва, Сокол"
https://spb.hh.ru/vacancy/39805931?query=php,Веб-разработчик,150 000-300 000 KZT,Нур-Султан
https://spb.hh.ru/vacancy/39505094?query=php,PHP-программист \ Ведущий PHP-программист,от 130 000 руб.,"Москва, Маяковская"
https://spb.hh.ru/vacancy/39908480?query=php,PHP-разработчик,60 000-150 000 руб.,Кемерово
https://spb.hh.ru/vacancy/39821278?query=php,PHP developer,от 60 000 руб.,"Санкт-Петербург, Электросила"
https://spb.hh.ru/vacancy/39902591?query=php,Веб-программист,45 000-75 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39952761?query=php,"Веб-программист (php, js)",от 75 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39837660?query=php,PHP-разработчик,от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/39839920?query=php,Web разработчик,от 50 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39730896?query=php,Web-разработчик/Веб-программист,40 500-78 000 руб.,Уфа
https://spb.hh.ru/vacancy/39939763?query=php,PHP-программист,от 110 000 руб.,Химки
https://spb.hh.ru/vacancy/39646822?query=php,PHP Developer (PHP разработчик),80 000-120 000 руб.,Казань
https://spb.hh.ru/vacancy/39950203?query=php,PHP-разработчик,60 000-150 000 руб.,Саранск
https://spb.hh.ru/vacancy/39402622?query=php,PHP-программист (удаленно),25 000-35 000 руб.,Новосибирск
https://spb.hh.ru/vacancy/39975433?query=php,Junior PHP Developer,до 60 000 руб.,"Москва, Белорусская"
https://spb.hh.ru/vacancy/39736568?query=php,Backend PHP разработчик,70 000-120 000 руб.,Самара
https://spb.hh.ru/vacancy/39921022?query=php,Backend-разработчик (PHP),60 000-150 000 руб.,Смоленск
https://spb.hh.ru/vacancy/39693380?query=php,Веб-разработчик Fullstack (Laravel + Vue.JS),60 000-80 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39940722?query=php,PHP-разработчик (Middle PHP Developer),от 70 000 руб.,Тамбов
https://spb.hh.ru/vacancy/38513234?query=php,Веб-программист,от 70 000 руб.,"Санкт-Петербург, Пролетарская"
https://spb.hh.ru/vacancy/39161736?query=php,PHP-программист,до 100 000 руб.,"Москва, Динамо"
https://spb.hh.ru/vacancy/39204674?query=php,Разработчик PHP/JavaScript,80 000-120 000 руб.,"Санкт-Петербург, Василеостровская"
https://spb.hh.ru/vacancy/39782764?query=php,Backend разработчик (PHP),70 000-150 000 руб.,Волгоград
https://spb.hh.ru/vacancy/39847966?query=php,"Ведущий веб-разработчик (PHP, Yii)",120 000-150 000 руб.,Омск
https://spb.hh.ru/vacancy/39595842?query=php,Middle PHP Developer / Мид PHP Программист,120 000-140 000 руб.,Москва
https://spb.hh.ru/vacancy/39827248?query=php,PHP-программист,от 70 000 руб.,Ставрополь
https://spb.hh.ru/vacancy/39946843?query=php,"Преподаватель курсов «Web-разработка» (html, css, js, php)",от 25 000 руб.,Тюмень
https://spb.hh.ru/vacancy/39722434?query=php,Middle/Senior Full Stack Web Developer,100 000-150 000 руб.,Москва
https://spb.hh.ru/vacancy/39114707?query=php,Веб-разработчик / Программист PHP,70 000-100 000 руб.,"Казань, Площадь Тукая"
https://spb.hh.ru/vacancy/39296532?query=php,PHP Developer,до 230 000 руб.,Москва
